Brand=["DERMAGLÓS"],Reporting Range=["Weekly"],Select week=["Week 10 | 2026-03-01 - 2026-03-07 2026"]
"Search Query","Search Query Score","Search Query Volume","Impressions: Total Count","Impressions: Brand Count","Impressions: Brand Share %","Clicks: Total Count","Clicks: Click Rate %","Clicks: Brand Count","Clicks: Brand Share %","Clicks: Price (Median)","Clicks: Brand Price (Median)","Clicks: Same Day Shipping Speed","Clicks: 1D Shipping Speed","Clicks: 2D Shipping Speed","Cart Adds: Total Count","Cart Adds: Cart Add Rate %","Cart Adds: Brand Count","Cart Adds: Brand Share %","Cart Adds: Price (Median)","Cart Adds: Brand Price (Median)","Cart Adds: Same Day Shipping Speed","Cart Adds: 1D Shipping Speed","Cart Adds: 2D Shipping Speed","Purchases: Total Count","Purchases: Purchase Rate %","Purchases: Brand Count","Purchases: Brand Share %","Purchases: Price (Median)","Purchases: Brand Price (Median)","Purchases: Same Day Shipping Speed","Purchases: 1D Shipping Speed","Purchases: 2D Shipping Speed","Reporting Date"
"eos lotion","11","117045","2497098","1242","0.04973773556344204","59654","50.96672220086291","0","0.0","9.970000267028809",,"13566","23001","7991","36008","30.764235977615446","0","0.0","9.970000267028809",,"9044","14098","4698","10245","8.753043701140587","0","0.0","9.97",,"3461","4418","1194","2026-03-07"
"codi lotion","12","10340","238418","1192","0.4999622511723108","4890","47.29206963249516","1","0.02044989775051125","13.989999771118164","32.11000061035156","230","1323","1121","2070","20.01934235976789","0","0.0","13.34000015258789",,"105","619","493","295","2.852998065764023","0","0.0","13.09",,"26","137","67","2026-03-07"
"micellar water","13","50234","1406340","451","0.03206905869135487","30088","59.895688179320786","3","0.009970752459452272","8.819999694824219","9.489999771118164","8429","13524","4069","21018","41.84018792053191","2","0.009515653249595584","8.819999694824219","9.489999771118164","6279","9585","2747","10791","21.48146673567703","0","0.0","8.82",,"3650","5174","1291","2026-03-07"
"vitamin a face cream","14","46","1096","62","5.656934306569343","17","36.95652173913043","1","5.882352941176471","17.5","16.989999771118164","0","5","5","6","13.043478260869565","1","16.666666666666668","16.989999771118164","16.989999771118164","0","1","2","4","8.695652173913043","1","25.0","9.99","16.99","0","1","2","2026-03-07"
"no no after treatment cream","15","21","459","12","2.6143790849673203","15","71.42857142857143","2","13.333333333333334","10.449999809265137","9.989999771118164","0","9","4","5","23.809523809523807","1","20.0","19.989999771118164","9.989999771118164","0","4","0","1","4.761904761904762","1","100.0","9.99","9.99","0","1","0","2026-03-07"
"dermaglos crema corporal","16","1","18","11","61.111111111111114","1","100.0","1","100.0","18.889999389648438","18.889999389648438","0","0","0","1","100.0","1","100.0","18.889999389648438","18.889999389648438","0","0","0","1","100.0","1","100.0","18.89","18.89","0","0","0","2026-03-07"
"vit a cream for skin","17","7","141","9","6.382978723404255","1","14.285714285714285","1","100.0","9.989999771118164","9.989999771118164","1","0","0","1","14.285714285714285","1","100.0","9.989999771118164","9.989999771118164","1","0","0","1","14.285714285714285","1","100.0","9.99","9.99","1","0","0","2026-03-07"
"dermaglos para ek cuerpo","18","1","8","8","100.0","1","100.0","1","100.0","13.489999771118164","13.489999771118164","0","1","0","1","100.0","1","100.0","13.489999771118164","13.489999771118164","0","1","0","1","100.0","1","100.0","13.49","13.49","0","1","0","2026-03-07"
"set de cremas ansiedad dermaglos","19","1","22","7","31.818181818181817","1","100.0","1","100.0","32.900001525878906","32.900001525878906","0","0","1","1","100.0","1","100.0","32.900001525878906","32.900001525878906","0","0","1","1","100.0","1","100.0","32.9","32.9","0","0","1","2026-03-07"
"dermaglos hyalironic acid","20","1","18","6","33.333333333333336","1","100.0","1","100.0","18.889999389648438","18.889999389648438","0","1","0","1","100.0","1","100.0","18.889999389648438","18.889999389648438","0","1","0","1","100.0","1","100.0","18.89","18.89","0","1","0","2026-03-07"
"crema para estrías para hombre","21","3","66","3","4.545454545454546","2","66.66666666666666","1","50.0","9.989999771118164","9.989999771118164","0","2","0","1","33.33333333333333","1","100.0","9.989999771118164","9.989999771118164","0","1","0","1","33.33333333333333","1","100.0","9.99","9.99","0","1","0","2026-03-07"
"retinoid cream stretch marks","22","1","21","1","4.761904761904762","1","100.0","1","100.0","9.989999771118164","9.989999771118164","0","0","0","1","100.0","1","100.0","9.989999771118164","9.989999771118164","0","0","0","1","100.0","1","100.0","9.99","9.99","0","0","0","2026-03-07"
"gel de limpieza dermaglos","23","3","66","18","27.272727272727273","4","133.33333333333331","4","100.0","9.890000343322754","9.890000343322754","0","0","0","3","100.0","3","100.0","9.890000343322754","9.890000343322754","0","0","0","0","0.0","0",,,,"0","0","0","2026-03-07"
"dermaglos moisturizing cream","24","2","42","29","69.04761904761905","2","100.0","2","100.0","9.989999771118164","9.989999771118164","0","2","0","2","100.0","2","100.0","9.989999771118164","9.989999771118164","0","2","0","0","0.0","0",,,,"0","0","0","2026-03-07"
"dexeryl","25","557","12973","503","3.877283588992523","149","26.750448833034113","2","1.342281879194631","24.989999771118164","18.889999389648438","4","11","17","28","5.026929982046679","0","0.0","22.899999618530273",,"2","2","3","6","1.0771992818671454","0","0.0","22.9",,"0","2","2","2026-03-07"
"body moisturizers","26","20511","530487","483","0.09104841400449021","6390","31.154014918824046","2","0.03129890453834116","9.979999542236328","13.489999771118164","1657","2335","910","3217","15.684266978694358","0","0.0","9.979999542236328",,"877","1155","457","883","4.305007069377408","0","0.0","9.98",,"297","374","111","2026-03-07"
"hipoglos cream","27","293","6112","436","7.133507853403142","117","39.93174061433447","0","0.0","24.989999771118164",,"8","13","12","49","16.723549488054605","0","0.0","22.989999771118164",,"4","6","7","7","2.3890784982935154","0","0.0","24.99",,"0","1","1","2026-03-07"
"vitamin a lotion for skin","28","22","605","44","7.2727272727272725","9","40.909090909090914","3","33.333333333333336","17.989999771118164","13.489999771118164","2","5","2","4","18.181818181818183","1","25.0","17.989999771118164","9.989999771118164","2","1","1","1","4.545454545454546","0","0.0","17.99",,"1","0","0","2026-03-07"
"vitamin e cream","29","4383","112781","80","0.07093393390730708","1880","42.89299566506959","2","0.10638297872340426","9.949999809265137","9.989999771118164","343","794","345","980","22.359114761578827","1","0.10204081632653061","8.079999923706055","9.989999771118164","194","424","174","495","11.293634496919918","0","0.0","8.09",,"109","233","84","2026-03-07"
"dermol 500 cream","30","30","484","94","19.421487603305785","13","43.333333333333336","1","7.6923076923076925","61.119998931884766","18.889999389648438","0","0","2","2","6.666666666666667","1","50.0","18.889999389648438","18.889999389648438","0","0","0","1","3.3333333333333335","0","0.0","61.12",,"0","0","0","2026-03-07"
"moisturizing body cream for dry skin","31","114","2401","52","2.165764264889629","44","38.59649122807017","2","4.545454545454546","15.970000267028809","13.489999771118164","11","22","7","28","24.561403508771928","1","3.5714285714285716","18.959999084472656","13.489999771118164","8","13","5","10","8.771929824561402","0","0.0","18.96",,"4","4","1","2026-03-07"
"dermaglos vitamina c","32","23","415","58","13.975903614457831","9","39.130434782608695","1","11.11111111111111","18.270000457763672","18.889999389648438","3","2","0","4","17.391304347826086","1","25.0","13.989999771118164","18.889999389648438","2","1","0","0","0.0","0",,,,"0","0","0","2026-03-07"
"pomada regeneradora para la piel para tatuajes","33","6","132","6","4.545454545454546","4","66.66666666666666","2","50.0","9.989999771118164","9.989999771118164","0","0","0","2","33.33333333333333","1","50.0","9.989999771118164","9.989999771118164","0","0","0","0","0.0","0",,,,"0","0","0","2026-03-07"
"vitamin a topical","34","15","365","5","1.36986301369863","8","53.333333333333336","2","25.0","16.989999771118164","16.989999771118164","0","2","6","2","13.333333333333334","1","50.0","16.989999771118164","16.989999771118164","0","0","2","0","0.0","0",,,,"0","0","0","2026-03-07"
"allantoin lotion","35","15","499","40","8.016032064128256","11","73.33333333333333","1","9.090909090909092","12.90999984741211","13.489999771118164","2","2","6","9","60.0","1","11.11111111111111","13.489999771118164","13.489999771118164","1","1","6","1","6.666666666666667","0","0.0","22.96",,"0","1","0","2026-03-07"
"vertaderm cream","36","484","12733","321","2.5210084033613445","55","11.363636363636363","0","0.0","19.989999771118164",,"6","29","8","5","1.0330578512396695","0","0.0","13.989999771118164",,"1","3","0","2","0.4132231404958678","0","0.0","13.99",,"0","2","0","2026-03-07"
"dermaskin crema colombia","37","19","332","18","5.421686746987952","5","26.31578947368421","1","20.0","27.5","9.989999771118164","0","3","1","1","5.263157894736842","1","100.0","9.989999771118164","9.989999771118164","0","1","0","0","0.0","0",,,,"0","0","0","2026-03-07"
"dermoval crema","38","11","184","16","8.695652173913043","1","9.090909090909092","1","100.0","13.489999771118164","13.489999771118164","0","1","0","1","9.090909090909092","1","100.0","13.489999771118164","13.489999771118164","0","1","0","0","0.0","0",,,,"0","0","0","2026-03-07"
"dernalibour crema","39","8","144","16","11.11111111111111","5","62.5","1","20.0","19.0","9.989999771118164","0","5","0","3","37.5","1","33.333333333333336","19.0","9.989999771118164","0","3","0","0","0.0","0",,,,"0","0","0","2026-03-07"
"gluten free body cream","40","28","564","15","2.6595744680851063","10","35.714285714285715","1","10.0","9.989999771118164","13.489999771118164","0","0","0","3","10.714285714285714","1","33.333333333333336","13.5600004196167","13.489999771118164","0","0","0","0","0.0","0",,,,"0","0","0","2026-03-07"
"vitamin a skin cream","41","6","284","15","5.28169014084507","1","16.666666666666664","1","100.0","9.989999771118164","9.989999771118164","0","1","0","1","16.666666666666664","1","100.0","9.989999771118164","9.989999771118164","0","1","0","0","0.0","0",,,,"0","0","0","2026-03-07"
"dermaglos emulsión","42","1","18","10","55.55555555555556","1","100.0","1","100.0","32.11000061035156","32.11000061035156","0","0","0","1","100.0","1","100.0","32.11000061035156","32.11000061035156","0","0","0","0","0.0","0",,,,"0","0","0","2026-03-07"
"detmaglos emulsion","43","1","18","9","50.0","1","100.0","1","100.0","18.889999389648438","18.889999389648438","0","0","0","1","100.0","1","100.0","18.889999389648438","18.889999389648438","0","0","0","0","0.0","0",,,,"0","0","0","2026-03-07"
"dermaglos crema cuerpo","44","1","21","9","42.857142857142854","1","100.0","1","100.0","13.489999771118164","13.489999771118164","1","0","0","1","100.0","1","100.0","13.489999771118164","13.489999771118164","1","0","0","0","0.0","0",,,,"0","0","0","2026-03-07"
"vitamin a retinoid face cream","45","4","88","8","9.090909090909092","2","50.0","1","50.0","9.989999771118164","9.989999771118164","0","1","1","2","50.0","1","50.0","9.989999771118164","9.989999771118164","0","1","1","0","0.0","0",,,,"0","0","0","2026-03-07"
"dermaglos bb cream","46","6","138","7","5.072463768115942","2","33.33333333333333","1","50.0","7.989999771118164","16.989999771118164","0","2","0","1","16.666666666666664","1","100.0","16.989999771118164","16.989999771118164","0","1","0","0","0.0","0",,,,"0","0","0","2026-03-07"
"easyderm cream","47","8","142","6","4.225352112676056","1","12.5","1","100.0","9.989999771118164","9.989999771118164","0","1","0","1","12.5","1","100.0","9.989999771118164","9.989999771118164","0","1","0","0","0.0","0",,,,"0","0","0","2026-03-07"
"ckd guaranteed lacto-derm beneficial moisturizing body lotion","48","6","132","6","4.545454545454546","4","66.66666666666666","1","25.0","9.899999618530273","13.489999771118164","2","2","0","3","50.0","1","33.333333333333336","9.899999618530273","13.489999771118164","2","1","0","0","0.0","0",,,,"0","0","0","2026-03-07"
"bepanthen cream","49","7211","152447","6","0.003935794079253773","3874","53.72347801969214","1","0.02581311306143521","20.989999771118164","9.989999771118164","115","552","603","1670","23.15906254333657","1","0.059880239520958084","19.489999771118164","9.989999771118164","41","242","302","369","5.117182082928859","0","0.0","15.18",,"12","78","78","2026-03-07"
"niacinamida dermaglos","50","3","68","5","7.352941176470588","1","33.33333333333333","1","100.0","9.989999771118164","9.989999771118164","0","0","0","1","33.33333333333333","1","100.0","9.989999771118164","9.989999771118164","0","0","0","0","0.0","0",,,,"0","0","0","2026-03-07"
"crema para todo ell cuerpo para mujeres de 47 años","51","4","32","4","12.5","4","100.0","1","25.0","13.489999771118164","13.489999771118164","1","3","0","3","75.0","1","33.333333333333336","13.489999771118164","13.489999771118164","1","2","0","0","0.0","0",,,,"0","0","0","2026-03-07"
"limpiador para grasas mixtas de dermaglos","52","2","12","4","33.333333333333336","1","50.0","1","100.0","9.890000343322754","9.890000343322754","0","1","0","1","50.0","1","100.0","9.890000343322754","9.890000343322754","0","1","0","0","0.0","0",,,,"0","0","0","2026-03-07"
"vitamin e micro needles spot cream","53","3","66","3","4.545454545454546","6","200.0","1","16.666666666666668","9.989999771118164","9.989999771118164","2","4","0","4","133.33333333333331","1","25.0","9.989999771118164","9.989999771118164","2","2","0","0","0.0","0",,,,"0","0","0","2026-03-07"
"lotion woth viramin a","54","1","20","3","15.0","1","100.0","1","100.0","9.989999771118164","9.989999771118164","0","1","0","1","100.0","1","100.0","9.989999771118164","9.989999771118164","0","1","0","0","0.0","0",,,,"0","0","0","2026-03-07"
"crema para la celulitis y estrias dermaglos","55","1","22","3","13.636363636363637","1","100.0","1","100.0","9.989999771118164","9.989999771118164","0","0","0","1","100.0","1","100.0","9.989999771118164","9.989999771118164","0","0","0","0","0.0","0",,,,"0","0","0","2026-03-07"
"￼vitamin a cream for face","56","1","22","3","13.636363636363637","2","200.0","1","50.0","16.989999771118164","16.989999771118164","0","0","1","1","100.0","1","100.0","16.989999771118164","16.989999771118164","0","0","1","0","0.0","0",,,,"0","0","0","2026-03-07"
"rapid absorption moisturizer","57","3","66","3","4.545454545454546","1","33.33333333333333","1","100.0","13.489999771118164","13.489999771118164","0","0","1","1","33.33333333333333","1","100.0","13.489999771118164","13.489999771118164","0","0","1","0","0.0","0",,,,"0","0","0","2026-03-07"
"vitamina a body cream","58","3","53","3","5.660377358490566","1","33.33333333333333","1","100.0","9.989999771118164","9.989999771118164","0","1","0","1","33.33333333333333","1","100.0","9.989999771118164","9.989999771118164","0","1","0","0","0.0","0",,,,"0","0","0","2026-03-07"
"anguento dermelan crema","59","2","38","3","7.894736842105263","1","50.0","1","100.0","9.989999771118164","9.989999771118164","0","1","0","1","50.0","1","100.0","9.989999771118164","9.989999771118164","0","1","0","0","0.0","0",,,,"0","0","0","2026-03-07"
"product to help skin with wegovy","60","2","2","2","100.0","1","50.0","1","100.0","9.989999771118164","9.989999771118164","1","0","0","1","50.0","1","100.0","9.989999771118164","9.989999771118164","1","0","0","0","0.0","0",,,,"0","0","0","2026-03-07"
"crema para tatuar","61","37","694","2","0.2881844380403458","16","43.24324324324324","1","6.25","14.960000038146973","9.989999771118164","1","13","2","7","18.91891891891892","1","14.285714285714286","14.880000114440918","9.989999771118164","1","6","0","0","0.0","0",,,,"0","0","0","2026-03-07"
"eos body lotion","62","9749","224318","295","0.1315097317201473","4728","48.49728177248949","0","0.0","9.970000267028809",,"1184","1706","606","2740","28.105446712483335","0","0.0","9.970000267028809",,"724","1021","373","774","7.93927582316135","0","0.0","9.97",,"251","323","111","2026-03-07"
"crepe skin firming cream","63","1598","74256","1","0.0013466925231631114","170","10.638297872340425","1","0.5882352941176471","16.969999313354492","9.989999771118164","37","72","42","88","5.506883604505632","1","1.1363636363636365","16.969999313354492","9.989999771118164","18","39","20","26","1.6270337922403004","0","0.0","16.97",,"6","11","5","2026-03-07"
"dr lift hydration micellar cleansing water sensitive skin","64","2","56","1","1.7857142857142858","2","100.0","1","50.0","7.860000133514404","9.489999771118164","0","2","0","1","50.0","1","100.0","9.489999771118164","9.489999771118164","0","1","0","0","0.0","0",,,,"0","0","0","2026-03-07"
"face cream for deep lines","65","8","179","1","0.5586592178770949","8","100.0","1","12.5","9.989999771118164","9.989999771118164","5","2","1","4","50.0","1","25.0","8.989999771118164","9.989999771118164","3","0","1","0","0.0","0",,,,"0","0","0","2026-03-07"
"the best body moisturizer","66","1","22","1","4.545454545454546","1","100.0","1","100.0","13.489999771118164","13.489999771118164","0","1","0","1","100.0","1","100.0","13.489999771118164","13.489999771118164","0","1","0","0","0.0","0",,,,"0","0","0","2026-03-07"
"acne face wash gel","67","1","60","1","1.6666666666666667","2","200.0","1","50.0","9.890000343322754","9.890000343322754","0","2","0","2","200.0","1","50.0","9.890000343322754","9.890000343322754","0","2","0","0","0.0","0",,,,"0","0","0","2026-03-07"
"vitamin a cream for skin","68","41","1041","84","8.069164265129682","13","31.70731707317073","4","30.76923076923077","16.959999084472656","9.989999771118164","2","3","6","5","12.195121951219512","0","0.0","17.989999771118164",,"2","1","2","3","7.317073170731707","0","0.0","17.99",,"1","1","1","2026-03-07"
"eucerin dermopure oil control","69","636","13811","135","0.9774817174715806","140","22.0125786163522","2","1.4285714285714286","17.190000534057617","9.890000343322754","12","32","23","37","5.817610062893082","0","0.0","18.639999389648438",,"4","8","4","0","0.0","0",,,,"0","0","0","2026-03-07"
"codi lotion pomegranate","70","504","9734","203","2.0854735976987877","337","66.86507936507937","0","0.0","13.989999771118164",,"5","49","82","222","44.047619047619044","0","0.0","13.989999771118164",,"2","28","56","17","3.373015873015873","0","0.0","13.99",,"0","2","4","2026-03-07"
"bepantol derma","71","2059","42324","184","0.43474151781495135","511","24.817872753763965","0","0.0","17.989999771118164",,"30","129","69","156","7.576493443419135","0","0.0","13.850000381469727",,"12","43","28","26","1.2627489072365226","0","0.0","13.85",,"4","6","5","2026-03-07"
"vitamin e lotion for skin","72","317","9732","165","1.6954377311960542","106","33.4384858044164","0","0.0","9.979999542236328",,"16","50","22","65","20.50473186119874","0","0.0","9.949999809265137",,"9","32","13","32","10.094637223974763","0","0.0","9.95",,"5","17","8","2026-03-07"
"crema corporal para mujer","73","797","19226","84","0.43690835327161137","262","32.8732747804266","2","0.7633587786259542","9.989999771118164","13.489999771118164","49","83","24","98","12.296110414052698","0","0.0","9.979999542236328",,"22","28","9","10","1.2547051442910917","0","0.0","9.97",,"4","4","1","2026-03-07"
"dermaglós cream with vitamin a 600.000 ui, vitamine e, allantoin (200 g / 7.05)","74","1","11","5","45.45454545454545","9","900.0","4","44.44444444444444","16.989999771118164","16.989999771118164","1","3","4","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-03-07"
"eos lotion strawberry dream","75","1060","24016","152","0.6329113924050633","634","59.81132075471698","0","0.0","9.970000267028809",,"103","185","104","481","45.37735849056604","0","0.0","9.970000267028809",,"82","144","84","124","11.69811320754717","0","0.0","9.97",,"25","53","22","2026-03-07"
"eos pomegranate raspberry lotion","76","875","19516","150","0.7686001229760197","560","64.0","0","0.0","9.970000267028809",,"62","145","108","416","47.542857142857144","0","0.0","9.970000267028809",,"52","114","84","92","10.514285714285714","0","0.0","9.97",,"12","34","20","2026-03-07"
"vitamin a lotion","77","35","829","72","8.685162846803378","7","20.0","2","28.571428571428573","19.25","9.989999771118164","0","2","1","3","8.571428571428571","0","0.0","19.989999771118164",,"0","1","0","0","0.0","0",,,,"0","0","0","2026-03-07"
"dermovate cream 25g","78","145","2094","109","5.2053486150907355","49","33.793103448275865","1","2.0408163265306123","15.899999618530273","9.989999771118164","2","12","4","6","4.137931034482759","0","0.0","15.899999618530273",,"0","0","0","0","0.0","0",,,,"0","0","0","2026-03-07"
"lotion for extremely dry skin","79","18576","436334","100","0.02291822319599206","7653","41.19832041343669","1","0.013066771200836273","9.989999771118164","13.489999771118164","2380","3264","935","4958","26.690353143841516","0","0.0","9.970000267028809",,"1708","2088","555","2356","12.683031869078382","0","0.0","9.975000000000001",,"902","1033","247","2026-03-07"
"vitamin e lotion","80","1091","32213","99","0.3073293390867041","440","40.329972502291476","1","0.22727272727272727","9.949999809265137","18.889999389648438","55","200","119","226","20.714940421631532","0","0.0","8.989999771118164",,"35","101","54","98","8.982584784601283","0","0.0","8.25",,"21","42","21","2026-03-07"
"dermaglo","81","9","179","133","74.30167597765363","2","22.22222222222222","0","0.0","24.969999313354492",,"0","0","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-03-07"
"glycerin","82","16611","434319","129","0.029701670891671788","7438","44.77755704051532","0","0.0","9.989999771118164",,"1572","3108","1198","4897","29.48046475227259","0","0.0","9.989999771118164",,"1112","2097","776","1678","10.101739810968635","0","0.0","9.99",,"416","788","266","2026-03-07"
"body wrinkles","83","224","12116","129","1.0647078243644768","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-03-07"
"body lotion for women","84","16862","450516","129","0.028633833204592066","5823","34.53327007472423","0","0.0","10.970000267028809",,"1586","2523","774","3250","19.274107460562213","0","0.0","10.859999656677246",,"1002","1397","383","1431","8.486537777250623","0","0.0","10.97",,"489","668","151","2026-03-07"
"amlactin lotion","85","22487","519117","89","0.017144497290591525","13123","58.35816249388536","1","0.007620208793720948","15.970000267028809","18.889999389648438","3652","5437","1786","7022","31.226931115755768","0","0.0","15.970000267028809",,"2117","2876","985","2600","11.562235958553831","0","0.0","15.97",,"922","1122","339","2026-03-07"
"eos lotion pistachio","86","1361","30738","118","0.3838896479927126","813","59.73548861131521","0","0.0","9.979999542236328",,"176","274","140","635","46.656869948567234","0","0.0","9.979999542236328",,"152","227","100","202","14.842027920646583","0","0.0","9.98",,"63","84","27","2026-03-07"
"vanicream gentle facial cleanser","87","22707","531831","117","0.021999469756369974","14393","63.3857400801515","0","0.0","9.970000267028809",,"4515","6306","1831","11334","49.914123398071084","0","0.0","9.970000267028809",,"3716","4977","1392","5862","25.815827718324748","0","0.0","9.97",,"2113","2693","670","2026-03-07"
"dermaglos ultra hidratacion","88","3","47","42","89.36170212765957","2","66.66666666666666","2","100.0","9.989999771118164","9.989999771118164","0","0","0","0","0.0","0",,,,"0","0","0","0","0.0","0",,,,"0","0","0","2026-03-07"
"crema para las manchas de los genitales","89","17","381","4","1.0498687664041995","27","158.8235294117647","3","11.11111111111111","8.989999771118164","9.989999771118164","4","16","5","3","17.647058823529413","0","0.0","9.989999771118164",,"0","2","0","1","5.88235294117647","0","0.0","2.99",,"0","1","0","2026-03-07"
"vitamin e cream for skin","90","474","14229","112","0.7871248857966126","141","29.746835443037973","0","0.0","8.079999923706055",,"25","53","33","80","16.877637130801688","0","0.0","8.069999694824219",,"14","34","17","52","10.970464135021098","0","0.0","8.07",,"6","28","10","2026-03-07"
"body cream for extremely dry skin","91","716","18923","74","0.39105850023780586","238","33.24022346368715","1","0.42016806722689076","15.970000267028809","13.489999771118164","75","104","22","128","17.877094972067038","0","0.0","15.779999732971191",,"44","58","11","58","8.100558659217876","0","0.0","14.97",,"17","35","4","2026-03-07"
"dermovate cream","92","721","15911","109","0.6850606498648734","118","16.36615811373093","0","0.0","15.899999618530273",,"11","43","19","31","4.2995839112343965","0","0.0","11.989999771118164",,"4","12","6","2","0.27739251040221913","0","0.0","11.99",,"0","1","1","2026-03-07"
"hidratantes para cuerpo","93","1999","43484","107","0.24606751908748045","580","29.014507253626814","0","0.0","9.970000267028809",,"90","123","52","264","13.206603301650826","0","0.0","9.970000267028809",,"50","45","23","39","1.9509754877438719","0","0.0","9.97",,"4","10","2","2026-03-07"
"fresh and cozy eos lotion","94","1132","23130","103","0.4453091223519239","726","64.13427561837456","0","0.0","9.970000267028809",,"172","258","137","582","51.41342756183745","0","0.0","9.970000267028809",,"139","206","108","153","13.51590106007067","0","0.0","9.97",,"47","62","27","2026-03-07"
"hydraulic acid serum for face","95","1264","37529","97","0.2584667856857364","543","42.958860759493675","0","0.0","10.899999618530273",,"127","245","100","306","24.20886075949367","0","0.0","9.899999618530273",,"80","146","45","121","9.572784810126581","0","0.0","9.9",,"32","67","14","2026-03-07"
"vit a lotion","96","6","350","22","6.285714285714286","4","66.66666666666666","2","50.0","9.0","18.889999389648438","0","0","0","1","16.666666666666664","0","0.0","9.0",,"0","0","0","1","16.666666666666664","0","0.0","9.0",,"0","0","0","2026-03-07"
"dermaglos nocturna","97","3","59","20","33.898305084745765","3","100.0","2","66.66666666666667","9.989999771118164","9.989999771118164","0","0","0","1","33.33333333333333","0","0.0","9.989999771118164",,"0","0","0","0","0.0","0",,,,"0","0","0","2026-03-07"
